Recency,Frequency,Monetary,R,F,M
29,5,18639,1,4,5
16,9,23353,3,5,5
19,2,11789,2,1,4
43,2,5536,1,1,2
17,2,6416,3,1,2
21,2,4654,2,1,2
24,5,9335,2,4,3
12,3,8974,5,2,3
10,4,12388,5,3,4
17,5,12898,3,4,4
24,3,7253,2,2,3
13,5,11076,4,4,4
10,6,7433,5,4,3
15,7,7856,4,5,3
10,7,6463,5,5,2
12,5,14950,5,4,5
16,4,5166,3,3,2
19,2,7353,2,1,3
15,4,4144,4,3,2
12,6,14550,5,4,5
10,8,14771,5,5,5
12,2,8441,5,1,3
22,4,567,2,3,1
13,6,669,4,4,1
14,3,4523,4,2,2
25,3,4931,2,2,2
11,8,14869,5,5,5
29,1,2302,1,1,1
14,3,11265,4,2,4
16,5,4469,3,4,2
21,6,17888,2,4,5
0,7,6458,5,5,2
12,4,14593,5,3,5
34,1,5741,1,1,2
10,3,3217,5,2,1
24,2,3169,2,1,1
14,3,13545,4,2,4
25,1,4289,2,1,2
0,6,12210,5,4,4
13,1,2784,4,1,1
10,3,4237,5,2,2
13,2,8131,4,1,3
12,3,1376,5,2,1
12,5,18310,5,4,5
21,5,15887,2,4,5
24,6,5159,2,4,2
20,4,17037,2,3,5
16,2,4945,3,1,2
18,3,791,3,2,1
12,5,17556,5,4,5
20,2,2187,2,1,1
17,1,5348,3,1,2
29,2,3819,1,1,2
20,3,4384,2,2,2
14,5,12219,4,4,4
31,2,4570,1,1,2
20,2,2391,2,1,1
16,6,4061,3,4,2
12,5,12806,5,4,4
12,4,11566,5,3,4
12,3,7489,5,2,3
19,4,4008,2,3,2
23,3,13677,2,2,4
28,11,3768,1,5,1
40,1,1322,1,1,1
11,6,26603,5,4,5
32,2,1506,1,1,1
14,4,7975,4,3,3
15,3,4813,4,2,2
14,3,8349,4,2,3
25,6,23154,2,4,5
16,3,5784,3,2,2
21,3,13805,2,2,5
10,7,18380,5,5,5
31,3,8215,1,2,3
15,3,8154,4,2,3
14,2,3773,4,1,1
28,3,6182,1,2,2
13,4,13673,4,3,4
13,4,5107,4,3,2
25,7,18655,2,5,5
13,5,6780,4,4,3
12,6,10139,5,4,4
25,4,14203,2,3,5
21,1,379,2,1,1
18,5,10159,3,4,4
19,2,3634,2,1,1
11,6,8586,5,4,3
12,6,12085,5,4,4
19,4,6176,2,3,2
39,2,5843,1,1,2
23,3,8002,2,2,3
5,5,4633,5,4,2
28,6,8559,1,4,3
16,5,12271,3,4,4
26,1,396,1,1,1
20,4,7898,2,3,3
12,5,5575,5,4,2
12,3,979,5,2,1
21,4,8020,2,3,3
38,4,4418,1,3,2
7,6,12859,5,4,4
30,5,15129,1,4,5
28,4,6280,1,3,2
23,1,1016,2,1,1
21,6,1205,2,4,1
14,1,4320,4,1,2
19,2,7399,2,1,3
18,4,8268,3,3,3
18,6,15608,3,4,5
25,1,1160,2,1,1
22,4,14325,2,3,5
16,5,5529,3,4,2
23,3,8129,2,2,3
14,9,7687,4,5,3
30,4,1359,1,3,1
29,3,4676,1,2,2
26,1,607,1,1,1
17,5,18178,3,4,5
29,1,3580,1,1,1
34,6,24365,1,4,5
16,6,17201,3,4,5
19,4,13245,2,3,4
16,4,11378,3,3,4
22,5,8599,2,4,3
17,8,12134,3,5,4
19,4,6880,2,3,3
27,3,6099,1,2,2
15,5,2718,4,4,1
13,5,5702,4,4,2
25,4,3654,2,3,1
11,9,24032,5,5,5
26,3,3910,1,2,2
39,1,2093,1,1,1
21,5,8329,2,4,3
27,3,12729,1,2,4
26,5,15470,1,4,5
12,4,7666,5,3,3
13,3,10619,4,2,4
6,6,6512,5,4,2
36,3,2061,1,2,1
15,5,24564,4,4,5
14,4,16592,4,3,5
23,3,3301,2,2,1
11,4,9943,5,3,4
18,4,7995,3,3,3
12,6,9084,5,4,3
27,2,6637,1,1,3
14,4,6216,4,3,2
13,5,13987,4,4,5
14,3,11405,4,2,4
4,6,12657,5,4,4
16,1,5154,3,1,2
5,4,2927,5,3,1
27,4,7401,1,3,3
14,10,20772,4,5,5
13,6,14287,4,4,5
38,1,322,1,1,1
21,3,2223,2,2,1
13,3,5227,4,2,2
15,6,10371,4,4,4
14,4,6370,4,3,2
15,6,13295,4,4,4
15,5,18471,4,4,5
25,2,10882,2,1,4
15,5,13998,4,4,5
3,2,1993,5,1,1
13,8,15892,4,5,5
40,2,2207,1,1,1
15,2,1180,4,1,1
14,1,2035,4,1,1
14,4,4097,4,3,2
19,5,5400,2,4,2
19,7,7783,2,5,3
22,4,145,2,3,1
23,6,7054,2,4,3
24,5,9245,2,4,3
23,2,7095,2,1,3
4,6,17665,5,4,5
22,2,6973,2,1,3
33,2,4954,1,1,2
36,1,371,1,1,1
11,11,24272,5,5,5
14,4,10369,4,3,4
15,3,13743,4,2,5
15,4,10166,4,3,4
18,8,16049,3,5,5
14,8,25857,4,5,5
12,5,6660,5,4,3
12,6,5496,5,4,2
32,2,8289,1,1,3
17,6,15734,3,4,5
12,5,16160,5,4,5
24,1,3748,2,1,1
26,4,7286,1,3,3
12,4,6932,5,3,3
13,5,13995,4,4,5
47,1,1319,1,1,1
15,5,23758,4,4,5
28,3,7305,1,2,3
10,5,3591,5,4,1
14,5,8067,4,4,3
16,6,9805,3,4,4
18,3,10225,3,2,4
25,2,6761,2,1,3
14,4,2959,4,3,1
20,3,6775,2,2,3
18,3,16826,3,2,5
21,5,11528,2,4,4
42,1,886,1,1,1
21,6,11052,2,4,4
20,3,5741,2,2,2
11,7,13421,5,5,4
14,2,5971,4,1,2
43,2,2461,1,1,1
12,3,5766,5,2,2
30,4,1796,1,3,1
26,3,8428,1,2,3
12,4,9631,5,3,3
23,3,10562,2,2,4
16,4,8154,3,3,3
11,7,16588,5,5,5
17,2,2839,3,1,1
13,6,13941,4,4,5
